指标名称,美元指数:月:平均值,期货结算价(连续):布伦特原油:月:平均值
1971-01,120.401,
1971-02,120.2266667,
1971-03,120.176087,
1971-04,120.2271429,
1971-05,119.394,
1971-06,119.2845455,
1971-07,118.9809524,
1971-08,117.9940909,
1971-09,115.7814286,
1971-10,114.6984211,
1971-11,114.4295,
1971-12,112.3514286,
1972-01,110.3233333,
1972-02,108.891,
1972-03,108.3582609,
1972-04,108.5535,
1972-05,108.3963636,
1972-06,108.2413636,
1972-07,108.6345,
1972-08,108.8615,
1972-09,109.0655,
1972-10,109.5735,
1972-11,109.8575,
1972-12,110.0536842,
1973-01,109.99,
1973-02,104.4966667,
1973-03,100.0340909,
1973-04,101.2742857,
1973-05,100.0254545,
1973-06,96.50380952,
1973-07,92.72380952,
1973-08,95.03391304,
1973-09,95.11842105,
1973-10,94.48285714,
1973-11,98.7575,
1973-12,101.4805,
1974-01,107.1068182,
1974-02,104.4538889,
1974-03,101.5914286,
1974-04,99.82727273,
1974-05,98.43090909,
1974-06,100.02,
1974-07,100.1913636,
1974-08,102.0486364,
1974-09,102.9125,
1974-10,101.6077273,
1974-11,100.3033333,
1974-12,98.66,
1975-01,96.35681818,
1975-02,94.78666667,
1975-03,93.8955,
1975-04,95.39363636,
1975-05,94.80904762,
1975-06,94.79571429,
1975-07,98.76545455,
1975-08,101.5809524,
1975-09,103.0580952,
1975-10,102.5404545,
1975-11,102.5823529,
1975-12,103.5118182,
1976-01,103.3642857,
1976-02,103.4988889,
1976-03,105.1347826,
1976-04,106.1281818,
1976-05,106.487,
1976-06,107.0559091,
1976-07,106.8395238,
1976-08,106.3940909,
1976-09,105.71,
1976-10,105.7775,
1976-11,105.8836842,
1976-12,105.33,
1977-01,105.2461905,
1977-02,105.4310526,
1977-03,105.196087,
1977-04,104.6957143,
1977-05,104.4957143,
1977-06,104.3545455,
1977-07,102.5468421,
1977-08,103.2434783,
1977-09,103.7695238,
1977-10,102.15,
1977-11,100.7331579,
1977-12,98.37285714,
1978-01,96.73285714,
1978-02,96.19944444,
1978-03,94.80869565,
1978-04,94.5735,
1978-05,96.31681818,
1978-06,94.74363636,
