指标名称,M2:周:均值:结束日5,美国:M2:周:均值:结束日5,欧元区:M2:周:均值:结束日5,日本:货币供应量:平均余额:M2:周:均值:结束日5,即期汇率:美元兑人民币:周:平均值:结束日5,即期汇率:100日元兑人民币:周:平均值:结束日5,即期汇率:欧元兑人民币:周:平均值:结束日5,
1959-01-09,,57.96,,,,,,
1959-01-16,,57.96,,,,,,
1959-01-23,,57.96,,,,,,
1959-01-30,,57.96,,,,,,
1959-02-06,,57.96,,,,,,
1959-02-13,,71.925,,,,,,
1959-02-20,,71.925,,,,,,
1959-02-27,,71.925,,,,,,
1959-03-06,,71.925,,,,,,
1959-03-13,,71.975,,,,,,
1959-03-20,,71.975,,,,,,
1959-03-27,,71.975,,,,,,
1959-04-03,,71.975,,,,,,
1959-04-10,,72.55,,,,,,
1959-04-17,,72.55,,,,,,
1959-04-24,,72.55,,,,,,
1959-05-01,,72.55,,,,,,
1959-05-08,,58.04,,,,,,
1959-05-15,,58.04,,,,,,
1959-05-22,,58.04,,,,,,
1959-05-29,,58.04,,,,,,
1959-06-05,,58.04,,,,,,
1959-06-12,,73.125,,,,,,
1959-06-19,,73.125,,,,,,
1959-06-26,,73.125,,,,,,
1959-07-03,,73.125,,,,,,
1959-07-10,,73.6,,,,,,
1959-07-17,,73.6,,,,,,
1959-07-24,,73.6,,,,,,
1959-07-31,,73.6,,,,,,
1959-08-07,,58.96,,,,,,
1959-08-14,,58.96,,,,,,
1959-08-21,,58.96,,,,,,
1959-08-28,,58.96,,,,,,
1959-09-04,,58.96,,,,,,
1959-09-11,,74.025,,,,,,
1959-09-18,,74.025,,,,,,
1959-09-25,,74.025,,,,,,
1959-10-02,,74.025,,,,,,
1959-10-09,,59.38,,,,,,
1959-10-16,,59.38,,,,,,
1959-10-23,,59.38,,,,,,
1959-10-30,,59.38,,,,,,
1959-11-06,,59.38,,,,,,
1959-11-13,,74.45,,,,,,
1959-11-20,,74.45,,,,,,
1959-11-27,,74.45,,,,,,
1959-12-04,,74.45,,,,,,
