指标名称,期货结算价(连续):布伦特原油:周:平均值:结束日5
1988-06-24,15.65
1988-07-01,14.958
1988-07-08,14.758
1988-07-15,14.202
1988-07-22,15.234
1988-07-29,15.56
1988-08-05,15.01
1988-08-12,15.202
1988-08-19,15.006
1988-08-26,14.972
1988-09-02,14.465
1988-09-09,13.716
1988-09-16,13.736
1988-09-23,13.536
1988-09-30,12.87
1988-10-07,11.588
1988-10-14,12.558
1988-10-21,13.542
1988-10-28,12.47
1988-11-04,12.688
1988-11-11,12.946
1988-11-18,12.668
1988-11-25,13.056
1988-12-02,14.314
1988-12-09,14.38
1988-12-16,14.644
1988-12-23,14.904
1988-12-30,15.45666667
1989-01-06,15.96
1989-01-13,16.042
1989-01-20,16.708
1989-01-27,16.364
1989-02-03,15.994
1989-02-10,16.006
1989-02-17,15.702
1989-02-24,16.21
1989-03-03,16.65
1989-03-10,17.044
1989-03-17,17.47
1989-03-24,18.345
1989-03-31,18.9925
1989-04-07,18.75
1989-04-14,18.464
1989-04-21,19.478
1989-04-28,19.186
1989-05-05,18.34
1989-05-12,17.834
1989-05-19,17.372
1989-05-26,17.25
1989-06-02,17.5775
1989-06-09,17.774
1989-06-16,16.284
1989-06-23,16.624
1989-06-30,17.466
1989-07-07,17.822
1989-07-14,17.32
1989-07-21,17.438
1989-07-28,16.772
1989-08-04,16.512
1989-08-11,16.686
1989-08-18,16.872
1989-08-25,16.922
1989-09-01,17.1075
1989-09-08,17.6
1989-09-15,17.684
1989-09-22,17.704
1989-09-29,17.708
1989-10-06,18.346
1989-10-13,18.49
1989-10-20,18.862
1989-10-27,18.38
1989-11-03,18.858
1989-11-10,18.956
1989-11-17,18.46
1989-11-24,18.502
1989-12-01,18.392
1989-12-08,19.144
1989-12-15,19.118
1989-12-22,19.532
1989-12-29,20.14
1990-01-05,21.4275
1990-01-12,20.172
1990-01-19,19.54
1990-01-26,19.55
1990-02-02,20.02
1990-02-09,19.686
1990-02-16,19.554
1990-02-23,19.41
1990-03-02,19.398
1990-03-09,19.126
1990-03-16,18.608
1990-03-23,18.196
1990-03-30,18.39
1990-04-06,18.054
