指标名称,NYMEX:轻质低硫原油(WTI原油):非商业多头持仓:持仓数量:月:平均值,NYMEX:轻质低硫原油(WTI原油):非商业空头持仓:持仓数量:月:平均值
1986-01,2982.5,9844.5
1986-02,7040.5,6120
1986-03,11608.5,9017
1986-04,12913.5,15486
1986-05,15718.5,17101
1986-06,16256,16349
1986-07,23942.5,16029
1986-08,22109,5357
1986-09,19547,6237
1986-10,24835.5,11448
1986-11,21912.5,10938
1986-12,24528,11823
1987-01,16218.5,19955
1987-02,13112.5,20467
1987-03,14991.5,25288.5
1987-04,14347.5,28803
1987-05,20870,18531.5
1987-06,22530,20043
1987-07,27640.5,20228.5
1987-08,28010,21246.5
1987-09,21589.5,19100
1987-10,16154.5,18661
1987-11,11195,24004
1987-12,14807.5,33187
1988-01,15721,28072.5
1988-02,12556.5,33162.5
1988-03,10211.5,23395.5
1988-04,18468.5,28637.5
1988-05,17493.5,22124
1988-06,15930,26905.5
1988-07,11520,28528.5
1988-08,11947.5,25234.5
1988-09,10057,44141.5
1988-10,11869.5,37210
1988-11,12602.5,28741.5
1988-12,19512.5,28726.5
1989-01,15546,32169
1989-02,21333.5,31439
1989-03,17979.5,29059.5
1989-04,14742.5,32006.5
1989-05,12366.5,17797.5
1989-06,14304.5,15432.5
1989-07,13266.5,12934
1989-08,9786,14603.5
1989-09,16413,14415
1989-10,14174,17987.5
1989-11,8165.5,23184.5
1989-12,12948,17791
1990-01,13683,18145
1990-02,23562,14950
1990-03,12318,11436
1990-04,7206.5,25841
1990-05,9376.5,22930
1990-06,11711.5,24190.5
1990-07,13765,23586.5
1990-08,8447.5,22693
1990-09,9492,23916.5
1990-10,4550.5,16310
1990-11,4559,10361
1990-12,5291.5,4979.5
1991-01,5173.5,8470
1991-02,3657,6061.5
1991-03,4567.5,7322.5
1991-04,10443.5,9727.5
1991-05,14745.5,7632.5
1991-06,11667.5,8142
1991-07,17972.5,4697.5
1991-08,14914,8412.5
1991-09,15660,15038.5
1991-10,23981,20470
1991-11,12272.5,23680.5
1991-12,15094,19611.5
1992-01,14408,15444.5
1992-02,11378.5,18716.5
1992-03,11448,12519.5
1992-04,22692.5,6267
1992-05,21955.5,19067
1992-06,20042,18906
1992-07,13480.5,19685
1992-08,9139.5,23102
1992-09,12687,18447
1992-10,13675,15447.25
1992-11,10006.75,25452.75
1992-12,12561.6,22440.6
1993-01,10883.5,23676.25
1993-02,13514.5,11647.5
1993-03,19542.2,6901.8
1993-04,18779.25,6116
1993-05,21904.5,18443.25
1993-06,19902,27091.2
1993-07,10501.5,43760.75
1993-08,11087.2,36677
1993-09,9437.25,31806.5
1993-10,18818.75,22287.5
1993-11,19896.6,31542.6
1993-12,22889.5,35048.5
1994-01,23611,32122.5
1994-02,21935.5,27099.75
1994-03,25977,25594
1994-04,31988,14969.25
1994-05,38279.8,15031.2
1994-06,35950.75,10288.5
1994-07,37845,8790
1994-08,31365.8,13133
1994-09,27953.25,19109
1994-10,33678.75,10226.25
1994-11,30925.8,8346.8
1994-12,23344,26485.75
1995-01,36227.8,7432.2
1995-02,54515.5,2615
1995-03,45369.5,3003.75
1995-04,64333,5163.75
1995-05,48050.8,3779.2
1995-06,17417.75,20550.25
1995-07,13246.25,39602.75
1995-08,23343,18016.6
1995-09,37495,11816.75
1995-10,17681,17755.4
1995-11,35351.5,15130
1995-12,51689.5,11540.25
1996-01,29656,17230.4
1996-02,20914.5,21483.5
1996-03,32708.75,18738.25
1996-04,35289.8,18184.8
1996-05,23380.5,19609
1996-06,19609,17342.75
1996-07,33372.6,12999.6
1996-08,38175,14557
1996-09,37566.5,17467.5
1996-10,36975.8,15199.8
1996-11,23500.5,14379.25
1996-12,26325.8,11968.6
1997-01,25536.25,10903
1997-02,13350.5,29218
1997-03,16175.75,34440.75
1997-04,15789.4,27887
1997-05,35193.75,13397.75
1997-06,16118.75,26905
1997-07,13887,26858.2
1997-08,29742,19652.25
1997-09,27850.8,28227.4
1997-10,52439.75,17033.5
1997-11,21166.5,26190.25
1997-12,12760.8,67433.6
1998-01,19787.5,68174.25
1998-02,29167.5,45058.75
1998-03,33314.6,35968.8
1998-04,34708,30910
1998-05,26964.25,40360.5
1998-06,26490,45726.2
1998-07,28414.25,40574.75
1998-08,29938.25,50285.75
1998-09,47669,30451.2
1998-10,35811.75,33966.25
1998-11,36464.25,44493.25
1998-12,30853.2,47583
1999-01,24419,33160.25
1999-02,19060,39680.25
1999-03,55616.4,21394
1999-04,81374.5,25376.5
1999-05,77115.25,29160
1999-06,68618.8,21661.4
1999-07,96715.5,25006
1999-08,91114.4,17674.4
1999-09,94226.5,17918.75
1999-10,58402.5,16167.75
1999-11,56855,18828.2
