指标名称,M2,美国:M2,欧元区:M2,日本:货币供应量:平均余额:M2,平均汇率:美元兑人民币,平均汇率:欧元兑人民币,平均汇率:100日元兑人民币
1959/1/31,,289.80,,,,,
1959/10/31,,296.90,,,,,
1959/11/30,,297.80,,,,,
1959/12/31,,300.60,,,,,
1959/2/28,,287.70,,,,,
1959/3/31,,287.90,,,,,
1959/4/30,,290.20,,,,,
1959/5/31,,290.20,,,,,
1959/6/30,,292.50,,,,,
1959/7/31,,294.40,,,,,
1959/8/31,,294.80,,,,,
1959/9/30,,296.10,,,,,
1960/1/31,,301.50,,,,,
1960/10/31,,309.90,,,,,
1960/11/30,,311.70,,,,,
1960/12/31,,315.30,,,,,
1960/2/29,,298.50,,,,,
1960/3/31,,298.20,,,,,
1960/4/30,,300.30,,,,,
1960/5/31,,298.90,,,,,
1960/6/30,,300.90,,,,,
1960/7/31,,303.50,,,,,
1960/8/31,,305.20,,,,,
1960/9/30,,307.80,,,,,
1961/1/31,,317.50,,,,,
1961/10/31,,331.50,,,,,
1961/11/30,,334.10,,,,,
1961/12/31,,338.50,,,,,
1961/2/28,,316.60,,,,,
1961/3/31,,317.20,,,,,
1961/4/30,,320.20,,,,,
1961/5/31,,320.00,,,,,
1961/6/30,,322.70,,,,,
1961/7/31,,324.90,,,,,
1961/8/31,,325.80,,,,,
1961/9/30,,328.80,,,,,
1962/1/31,,341.10,,,,,
1962/10/31,,357.50,,,,,
1962/11/30,,360.50,,,,,
1962/12/31,,365.80,,,,,
1962/2/28,,340.30,,,,,
1962/3/31,,342.10,,,,,
1962/4/30,,346.00,,,,,
1962/5/31,,345.00,,,,,
1962/6/30,,347.70,,,,,
1962/7/31,,350.10,,,,,
1962/8/31,,350.90,,,,,
1962/9/30,,353.90,,,,,
1963/1/31,,369.10,,,,,
1963/10/31,,388.80,,,,,
1963/11/30,,392.30,,,,,
1963/12/31,,396.40,,,,,
1963/2/28,,368.00,,,,,
1963/3/31,,369.80,,,,,
1963/4/30,,373.80,,,,,
1963/5/31,,373.40,,,,,
1963/6/30,,376.70,,,,,
1963/7/31,,380.20,,,,,
1963/8/31,,381.50,,,,,
1963/9/30,,384.90,,,,,
1964/1/31,,399.50,,,,,
1964/10/31,,419.90,,,,,
1964/11/30,,422.90,,,,,
1964/12/31,,428.30,,,,,
1964/2/29,,397.60,,,,,
1964/3/31,,398.90,,,,,
1964/4/30,,402.40,,,,,
1964/5/31,,401.30,,,,,
1964/6/30,,405.30,,,,,
1964/7/31,,409.30,,,,,
1964/8/31,,411.10,,,,,
1964/9/30,,415.70,,,,,
1965/1/31,,432.30,,,,,
1965/10/31,,453.60,,,,,
1965/11/30,,456.70,,,,,
1965/12/31,,463.10,,,,,
1965/2/28,,430.10,,,,,
1965/3/31,,432.20,,,,,
1965/4/30,,436.20,,,,,
1965/5/31,,433.70,,,,,
1965/6/30,,438.40,,,,,
1965/7/31,,442.10,,,,,
1965/8/31,,443.30,,,,,
1965/9/30,,448.40,,,,,
1966/1/31,,467.10,,,,,
1966/10/31,,476.90,,,,,
1966/11/30,,478.10,,,,,
1966/12/31,,483.70,,,,,
1966/2/28,,463.70,,,,,
1966/3/31,,465.90,,,,,
1966/4/30,,470.10,,,,,
1966/5/31,,466.20,,,,,
1966/6/30,,469.60,,,,,
1966/7/31,,470.30,,,,,
1966/8/31,,470.10,,,,,
1966/9/30,,474.60,,,,,
1967/1/31,,486.40,,,,,
1967/10/31,,519.30,,,,,
1967/11/30,,521.60,,,,,
1967/12/31,,528.00,,,,,
1967/2/28,,483.60,,,,,
1967/3/31,,488.10,,,,,
1967/4/30,,492.90,,,,,
1967/5/31,,493.30,,,,,
1967/6/30,,500.90,,,,,
1967/7/31,,506.20,,,,,
1967/8/31,,508.60,,,,,
1967/9/30,,514.20,,,,,
1968/1/31,,531.90,,,,,
1968/10/31,,558.50,,,,,
1968/11/30,,562.50,,,,,
1968/12/31,,569.70,,,,,
1968/2/29,,528.10,,,,,
1968/3/31,,531.60,,,,,
1968/4/30,,536.90,,,,,
1968/5/31,,535.40,,,,,
1968/6/30,,542.20,,,,,
1968/7/31,,546.20,,,,,
1968/8/31,,547.60,,,,,
