指标名称,M2,美国:M2,欧元区:M2,日本:货币供应量:平均余额:M2,平均汇率:100日元兑人民币,平均汇率:美元兑人民币,平均汇率:欧元兑人民币
1959-01,,289.8,,,,,
1959-02,,287.7,,,,,
1959-03,,287.9,,,,,
1959-04,,290.2,,,,,
1959-05,,290.2,,,,,
1959-06,,292.5,,,,,
1959-07,,294.4,,,,,
1959-08,,294.8,,,,,
1959-09,,296.1,,,,,
1959-10,,296.9,,,,,
1959-11,,297.8,,,,,
1959-12,,300.6,,,,,
1960-01,,301.5,,,,,
1960-02,,298.5,,,,,
1960-03,,298.2,,,,,
1960-04,,300.3,,,,,
1960-05,,298.9,,,,,
1960-06,,300.9,,,,,
1960-07,,303.5,,,,,
1960-08,,305.2,,,,,
1960-09,,307.8,,,,,
1960-10,,309.9,,,,,
1960-11,,311.7,,,,,
1960-12,,315.3,,,,,
1961-01,,317.5,,,,,
1961-02,,316.6,,,,,
1961-03,,317.2,,,,,
1961-04,,320.2,,,,,
1961-05,,320,,,,,
1961-06,,322.7,,,,,
1961-07,,324.9,,,,,
1961-08,,325.8,,,,,
1961-09,,328.8,,,,,
1961-10,,331.5,,,,,
1961-11,,334.1,,,,,
1961-12,,338.5,,,,,
1962-01,,341.1,,,,,
1962-02,,340.3,,,,,
1962-03,,342.1,,,,,
1962-04,,346,,,,,
1962-05,,345,,,,,
1962-06,,347.7,,,,,
1962-07,,350.1,,,,,
1962-08,,350.9,,,,,
1962-09,,353.9,,,,,
1962-10,,357.5,,,,,
1962-11,,360.5,,,,,
1962-12,,365.8,,,,,
1963-01,,369.1,,,,,
1963-02,,368,,,,,
1963-03,,369.8,,,,,
1963-04,,373.8,,,,,
1963-05,,373.4,,,,,
1963-06,,376.7,,,,,
1963-07,,380.2,,,,,
1963-08,,381.5,,,,,
1963-09,,384.9,,,,,
1963-10,,388.8,,,,,
1963-11,,392.3,,,,,
1963-12,,396.4,,,,,
1964-01,,399.5,,,,,
1964-02,,397.6,,,,,
1964-03,,398.9,,,,,
1964-04,,402.4,,,,,
1964-05,,401.3,,,,,
1964-06,,405.3,,,,,
1964-07,,409.3,,,,,
1964-08,,411.1,,,,,
1964-09,,415.7,,,,,
1964-10,,419.9,,,,,
1964-11,,422.9,,,,,
1964-12,,428.3,,,,,
1965-01,,432.3,,,,,
1965-02,,430.1,,,,,
1965-03,,432.2,,,,,
1965-04,,436.2,,,,,
1965-05,,433.7,,,,,
1965-06,,438.4,,,,,
1965-07,,442.1,,,,,
1965-08,,443.3,,,,,
1965-09,,448.4,,,,,
1965-10,,453.6,,,,,
1965-11,,456.7,,,,,
1965-12,,463.1,,,,,
1966-01,,467.1,,,,,
1966-02,,463.7,,,,,
1966-03,,465.9,,,,,
1966-04,,470.1,,,,,
1966-05,,466.2,,,,,
1966-06,,469.6,,,,,
1966-07,,470.3,,,,,
1966-08,,470.1,,,,,
1966-09,,474.6,,,,,
1966-10,,476.9,,,,,
1966-11,,478.1,,,,,
1966-12,,483.7,,,,,
1967-01,,486.4,,,,,
1967-02,,483.6,,,,,
1967-03,,488.1,,,,,
1967-04,,492.9,,,,,
1967-05,,493.3,,,,,
1967-06,,500.9,,,,,
1967-07,,506.2,,,,,
1967-08,,508.6,,,,,
1967-09,,514.2,,,,,
1967-10,,519.3,,,,,
1967-11,,521.6,,,,,
1967-12,,528,,,,,
1968-01,,531.9,,,,,
1968-02,,528.1,,,,,
1968-03,,531.6,,,,,
1968-04,,536.9,,,,,
1968-05,,535.4,,,,,
1968-06,,542.2,,,,,
1968-07,,546.2,,,,,
1968-08,,547.6,,,,,
1968-09,,553.1,,,,,
1968-10,,558.5,,,,,
1968-11,,562.5,,,,,
1968-12,,569.7,,,,,
1969-01,,573.5,,,,,
1969-02,,569.1,,,,,
1969-03,,572.8,,,,,
1969-04,,577.4,,,,,
1969-05,,573.5,,,,,
1969-06,,578.7,,,,,
1969-07,,580.6,,,,,
1969-08,,578.4,,,,,
1969-09,,581.3,,,,,
1969-10,,583.7,,,,,
1969-11,,584.8,,,,,
1969-12,,590.1,,,,,
1970-01,,592,,,,,
