指标名称,库存量:商业原油:全美:月:平均值:环比增加:同比增加,OPEC:一揽子原油价格:月:平均值
1983-08,-343469.35,
1983-09,9133.35,
1983-10,5052.5,
1983-11,9749.15,
1983-12,-13663.05,
1984-01,-554.7,
1984-02,-13556.25,
1984-03,-5485.3,
1984-04,10496.3,
1984-05,4281.75,
1984-06,15622.5,
1984-07,2398.9,
1984-08,-325.65,
1984-09,-21649.85,
1984-10,1124.1,
1984-11,5289.75,
1984-12,4338.7,
1985-01,-1532.95,
1985-02,-11998,
1985-03,11874.5,
1985-04,-6329.25,
1985-05,10061.25,
1985-06,-6377.75,
1985-07,-10924.25,
1985-08,-6188,
1985-09,5235,
1985-10,1548.75,
1985-11,-16514.75,
1985-12,10254.75,
1986-01,5432.85,
1986-02,24679.65,
1986-03,4742.55,
1986-04,-3119.3,
1986-05,-27972.1,
1986-06,-3299.65,
1986-07,14443.25,
1986-08,21403.4,
1986-09,5766.6,
1986-10,4633.75,
1986-11,6137.75,
1986-12,-10687,
1987-01,-10088.5,
1987-02,-5045.5,
1987-03,-8554.5,
1987-04,-4355.75,
1987-05,4578.15,
1987-06,4572.6,
1987-07,1198,
1987-08,-6419.15,
1987-09,11572.4,
1987-10,-6437.25,
1987-11,19053.5,
1987-12,6051.5,
1988-01,-10018.2,
1988-02,-3439.3,
1988-03,7660.5,
1988-04,11442.65,
1988-05,11264.05,
1988-06,332.8,
1988-07,-7453.9,
1988-08,-13340.35,
1988-09,-25830.8,
1988-10,1250.3,
1988-11,-8019.75,
1988-12,-7565.3,
1989-01,3942.4,
1989-02,5735.9,
1989-03,-1110.2,
1989-04,-12218.2,
1989-05,6386.15,
1989-06,-3725.45,
1989-07,-415.15,
1989-08,12203.35,
1989-09,16755.1,
1989-10,1708.15,
1989-11,-6028.5,
1989-12,5772.15,
1990-01,11808.35,
1990-02,387.25,
1990-03,-810.8,
1990-04,21770.55,
1990-05,-7095,
1990-06,12118.85,
1990-07,8785.65,
1990-08,-9664.05,
1990-09,-9858.5,
1990-10,-26652.95,
1990-11,-5620.2,
1990-12,-10251.65,22.26
1991-01,-11318.15,
1991-02,3656,
1991-03,-134.75,
1991-04,-11877.25,
1991-05,-3983.35,
1991-06,-743.8,
1991-07,-6017.6,
1991-08,7768.2,
1991-09,1572.3,
1991-10,24807.25,
1991-11,3733.45,
1991-12,-582.2,18.62
1992-01,10643.4,
1992-02,-4324.15,
1992-03,2997.5,
1992-04,-4126.5,
1992-05,-757.45,
1992-06,-16402.3,
1992-07,-8462.3,
1992-08,1106.65,
1992-09,6505.4,
1992-10,-2971.85,
1992-11,-7163.4,
1992-12,11480.75,18.44
1993-01,-2394.15,
1993-02,7085.9,
1993-03,-1060.5,
1993-04,5435.85,
1993-05,3340.45,
1993-06,7564.7,
1993-07,16252.8,
1993-08,-7809.05,
1993-09,-7587.5,
1993-10,-6572.85,
1993-11,7213.1,
1993-12,7854.05,16.33
1994-01,-8060.55,
1994-02,-9176.75,
1994-03,-4423.25,
1994-04,-3349.8,
1994-05,-10989.7,
1994-06,-5355.5,
1994-07,658.8,
1994-08,3649.95,
1994-09,11269.35,
