指标名称,美元指数,美国:标普500 3个月波动率指数,期货结算价(连续):布伦特原油,M2:同比,欧元区:M2:同比,日本:货币供应量:平均余额:M2:同比,实际市场价格:全球:现货原油,库存量:商业原油:全美:同比
2022-06-16,103.8326,33.49,119.81,,,,,
2022-06-15,104.8694,30.78,118.51,,,,,
2022-06-14,105.4807,33.28,121.17,,,,,
2022-06-13,105.2277,34.24,122.27,,,,,
2022-06-10,104.1926,29.72,122.01,,,,,-10.28
2022-06-09,103.3279,28.01,123.07,,,,,
2022-06-08,102.5613,26.54,123.58,,,,,
2022-06-07,102.3352,26.52,120.57,,,,,
2022-06-06,102.3982,27.22,119.51,,,,,
2022-06-03,102.1704,27.33,119.72,,,,,-12.08
2022-06-02,101.7797,27.06,117.61,,,,,
2022-06-01,102.5679,27.72,116.29,,,,,
2022-05-31,101.7679,27.99,122.84,11.10,,3.20,,
2022-05-30,101.6454,,121.67,,,,,
2022-05-27,101.6429,28.02,119.43,,,,,-13.47
2022-05-26,101.7557,29.28,117.40,,,,,
2022-05-25,102.1262,29.73,114.03,,,,,
2022-05-24,101.7692,30.74,113.56,,,,,
2022-05-23,102.0767,30.29,113.42,,,,,
2022-05-20,103.0334,31.14,112.55,,,,,-13.33
2022-05-19,102.8934,30.79,112.04,,,,,
2022-05-18,103.9245,32.80,109.11,,,,,
2022-05-17,103.2971,28.37,111.93,,,,,
2022-05-16,104.2230,29.51,114.24,,,,,
2022-05-13,104.4509,30.70,111.55,,,,,-13.41
2022-05-12,104.7536,33.08,107.45,,,,,
2022-05-11,104.0200,33.63,107.51,,,,,
2022-05-10,103.9278,33.97,102.46,,,,,
2022-05-09,103.7264,35.05,105.94,,,,,
2022-05-06,103.6617,32.31,112.39,,,,,-12.48
2022-05-05,103.5715,32.68,110.90,,,,,
2022-05-04,102.5122,28.09,110.14,,,,,
2022-05-03,103.4861,30.81,104.97,,,,,
2022-05-02,103.6027,33.01,107.58,,,,,
2022-04-30,,,,10.50,6.50,3.40,103.53,
2022-04-29,103.2173,33.18,109.34,,,,,-14.30
2022-04-28,103.6704,31.15,107.59,,,,,
2022-04-27,102.9669,32.20,105.32,,,,,
2022-04-26,101.7393,33.14,104.99,,,,,
2022-04-25,101.7435,29.07,102.32,,,,,
2022-04-22,101.1233,29.87,106.65,,,,,-15.96
2022-04-21,100.6273,26.11,108.33,,,,,
2022-04-20,100.3037,24.15,106.80,,,,,
2022-04-19,100.9863,25.06,107.25,,,,,
2022-04-18,100.7877,25.75,113.16,,,,,
2022-04-15,100.5201,,,,,,,-16.08
2022-04-14,100.3048,26.03,111.70,,,,,
2022-04-13,99.8387,25.54,108.78,,,,,
2022-04-12,100.3367,27.17,104.64,,,,,
2022-04-11,99.9775,27.00,98.48,,,,,
2022-04-08,99.8430,25.17,102.78,,,,,-14.35
2022-04-07,99.7712,25.23,100.58,,,,,
2022-04-06,99.6457,25.80,101.07,,,,,
2022-04-05,99.4903,24.90,106.64,,,,,
2022-04-04,99.0122,23.03,107.53,,,,,
2022-04-01,98.5709,24.21,104.39,,,,,-17.25
2022-03-31,98.3618,24.46,107.91,9.70,6.60,3.50,112.40,
2022-03-30,97.8297,23.57,113.45,,,,,
2022-03-29,98.4257,23.19,110.23,,,,,
2022-03-28,99.1520,24.18,112.48,,,,,
2022-03-25,98.8103,24.72,120.65,,,,,-18.31
2022-03-24,98.7894,25.30,119.03,,,,,
2022-03-23,98.6470,26.41,121.60,,,,,
2022-03-22,98.4386,25.85,115.48,,,,,
2022-03-21,98.4923,26.38,115.62,,,,,
2022-03-18,98.2282,26.55,107.93,,,,,-17.77
2022-03-17,98.0175,28.22,106.64,,,,,
2022-03-16,98.3755,28.96,98.02,,,,,
2022-03-15,98.9916,31.96,99.91,,,,,
2022-03-14,99.1193,33.32,106.90,,,,,
2022-03-11,99.1263,32.34,112.67,,,,,-16.95
2022-03-10,98.5160,31.52,109.33,,,,,
2022-03-09,97.9601,33.06,111.14,,,,,
2022-03-08,99.1289,35.00,127.98,,,,,
2022-03-07,99.2599,35.74,123.21,,,,,
2022-03-04,98.5113,32.34,118.11,,,,,-17.42
2022-03-03,97.7267,30.80,110.46,,,,,
2022-03-02,97.3539,30.97,112.93,,,,,
2022-03-01,97.4044,32.59,104.97,,,,,
